,Metric,$Count-LR_{Target}$,$CLMBR_{Target}-LR_{Target}$,$CLMBR_{Source}-LR_{Source}$,$CLMBR_{Source}-LR_{Target}$,$CLMBR_{FT-Pre}-LR_{Target}$
0,auc,0.954,0.968,0.958,0.974,0.981
1,auc,0.785,0.877,0.899,0.906,0.914
2,auc,0.799,0.857,0.854,0.888,0.892
3,auc,0.794,0.828,0.794,0.823,0.83
4,auc,0.941,0.958,0.976,0.971,0.971
5,auc,0.863,0.905,0.9,0.909,0.916
6,auc,0.832,0.901,0.844,0.906,0.912
7,auc,0.866,0.933,0.924,0.934,0.932
8,auc,0.929,0.946,0.966,0.965,0.963
9,auc,0.838,0.893,0.899,0.918,0.922
10,auc,0.94,0.942,0.975,0.975,0.976
0,auprc,0.353,0.26,0.394,0.387,0.383
1,auprc,0.142,0.203,0.252,0.241,0.271
2,auprc,0.584,0.645,0.628,0.719,0.733
3,auprc,0.371,0.404,0.35,0.392,0.424
4,auprc,0.119,0.142,0.329,0.283,0.308
5,auprc,0.15,0.265,0.253,0.296,0.322
6,auprc,0.075,0.145,0.073,0.208,0.205
7,auprc,0.133,0.159,0.12,0.149,0.185
8,auprc,0.252,0.173,0.203,0.203,0.225
9,auprc,0.235,0.352,0.373,0.395,0.42
10,auprc,0.405,0.457,0.519,0.528,0.593
0,ace_abs_logistic_logit,0.003,0.002,0.003,0.001,0.002
1,ace_abs_logistic_logit,0.004,0.002,0.003,0.003,0.004
2,ace_abs_logistic_logit,0.039,0.034,0.065,0.033,0.037
3,ace_abs_logistic_logit,0.004,0.008,0.011,0.008,0.009
4,ace_abs_logistic_logit,0.002,0.002,0.002,0.003,0.002
5,ace_abs_logistic_logit,0.003,0.002,0.011,0.002,0.002
6,ace_abs_logistic_logit,0.003,0.006,0.007,0.004,0.003
7,ace_abs_logistic_logit,0.001,0.001,0.006,0.002,0.002
8,ace_abs_logistic_logit,0.006,0.005,0.003,0.007,0.007
9,ace_abs_logistic_logit,0.004,0.005,0.019,0.007,0.007
10,ace_abs_logistic_logit,0.006,0.009,0.004,0.005,0.005
